Article,Date,Heading,SportsType,Location,NamesBody,NamesHeading,Organizations
"LAHORE: Left arm fast bowler Mohammad Amir, who was banned for five years from International cricket in spot-fixing case, has returned to the national squad announced for upcoming New Zealand tour.Mohammad Amir has been included in One-Day International and Twenty20 squads.Chief selector Haroon Rasheed announced that Mohammad Amir, Ahmed Shahzad, Mohammad Hafeez, Sohaib Maqsood, Shahid Afridi, Emad Wasim, Anwar Ali, Amir Yamin, Sarfaraz Ahmed, Wahab Riaz, Umar Gul, Mohammad Rizwan, and Saad Nasim will be part of the T20 team.The ODI squad comprises Ahmed Shahzad, Azhar Ali, Mohammad Hafeez, Shoaib Malik, Asad Shafiq, Babar Azam, Sohaib Maqsood, Zafar Gohar, Emad Wasim, Anwar Ali, Sarfaraz Ahmed, Wahab Riaz, Rahat Ali, Mohammad Irfan, Mohammad Rizwan, and Mohammad Amir.Rasheed said that Amir's case has been forwarded to the New Zealand consulate and that his visa process will begin after the New Year's holidays.Amir, 23, resumed his career in March playing grade two cricket in Pakistan, after the ICC allowed his early return to cricket. He moved onto grade one and caught further attention in the Bangladesh Premier League where he picked up 14 wickets in nine matches at an average of 12.64.",01-01-2016,Amir returns to Pakistan squad after 5 year b,cricket,LAHORE,Ahmed Shahzad;Shafiq;Gohar;Irfan;Mohammad Rizwan;Babar;Haroon;Gul;Sohaib;Mohammad Amir;Babar Azam;Wahab;Rasheed;Sohaib Maqsood;Hafeez;Malik;Amir.Rasheed;Saad;Yamin;Shahid Afridi;Anwar;Umar Gul;Umar;Saad Nasim;Mohammad Hafeez;Emad;Haroon Rasheed;Asad Shafiq;Wahab Riaz;Sarfaraz Ahmed;Shoaib Malik;Zafar;Maqsood;Wasim;Anwar Ali;Azam;Nasim;Sarfaraz;Rahat;Mohammad Irfan;Mohammad Amir.Rasheed;Ahmed;Shahzad;Amir Yamin;Amir;Asad;Azhar;Azhar Ali;Mohammad;Rizwan;Shoaib;Zafar Gohar;Riaz;Rahat Ali;Emad Wasim;Afridi;Shahid;Ali,Amir;Mohammad Amir;Amir Yamin,Bangladesh Premier League;ICC
"SYDNEY: Australia look set to field two specialist spinners at the Sydney Cricket Ground (SCG) for the first time in a decade when they host West Indies in a dead rubber New Years test starting this weekend.An inexperienced and demoralised West Indies touring party succumbed by an innings and 212 runs in Hobart and 177 runs in Melbourne to hand their hosts an unassailable 2-0 lead in the three-match series.That position, and the likelihood of a turning wicket at the SCG, have encouraged Australia to test out the twin spin option of Nathan Lyon and Stephen OKeefe ahead of their tour of Sri Lanka later this year.That the hosts can afford to put out an experimental side in one of the more venerable fixtures in the Australian sporting calendar is not to say there will be nothing at stake when the match gets underway on Sunday (1030 GMT).For West Indies there is pride and a chance to show more of the fighting spirit that stalled Australias victory match in the Boxing Day test in Melbourne last weekend.A 3-0 sweep, meanwhile, would send Australia above India to second in the test rankings and they would return to the summit if England can maintain a winning start and beat South Africa in their ongoing four-match series.Off-spinner Lyon is one of the first names on the Australian team sheet these days and he looks like being joined by left-arm finger spinner OKeefe in the Australian line-up.That was made all the more likely when seamer Peter Siddle failed to train on Friday because of an ankle injury, leaving his place in the team in jeopardy.OKeefes inclusion for his second test -- his first on home soil -- would make it the first time Australia have played twin spinners at the SCG since Shane Warne and Stuart MacGill took on South Africa at the ground in 2006.Josh Hazlewood is likely to back up for a sixth straight test alongside James Pattinson in the pace attack with all-rounder Mitchell Marsh offering support with his quickening medium pace deliveries after taking 4-61 in Melbourne.While Darren Bravo, Denesh Ramdin and skipper Jason Holder showed some resistance with the bat in Melbourne, the paucity of the West Indies bowling is starkly illustrated by the fact that they have taken just 10 wickets over the first two tests.Given how little pressure their pace attack have managed to exert on Australia so far in the series, West Indies might consider their own twin spin attack by bringing in leg-spinner Devendra Bishoo alongside left-arm orthodox Jomel Warrican.",01-01-2016,Australia set to test twin spin attack against Windi,cricket,SYDNEY,Shane;Bishoo;Mitchell Marsh;Denesh Ramdin;Peter Siddle;Warne;Devendra Bishoo;Darren;James Pattinson;Mitchell;Josh;Jason;Denesh;James;Holder;Pattinson;MacGill;Darren Bravo;Josh Hazlewood;Jason Holder;Shane Warne;Stuart;Stuart MacGill;Devendra;Siddle;Marsh;Peter;Hazlewood;Ramdin;Bravo;Stephen,Windi,SCG;West Indies;Nathan Lyon
"SYDNEY: After picking up pretty much every individual honour on offer in a spectacular 2015, Australia captain Steve Smith has a more collective goal in his sights this year -- restoring his country to the top of the test rankings.Smith finished his annus mirabilis as the worlds top ranked test batsman and won the ICC Cricketer and Test Cricketer of the Year awards as well as the Allan Border Medal as Australias best player.The 26-year-old scored a remarkable 2,369 runs across all three formats, rattling up 1,474 in tests alone at an average of 73.70 with six centuries.He was Australias highest run scorer as they secured a fifth 50-over World Cup triumph and he led the test side to series victories over India, New Zealand and West Indies.Even in the Ashes defeat to England, the one major blot on Australias copy book for the year, he scored his maiden double century to claim the Man of the Match award at Lords.Even before he was captain, though, Smith was always clear that team success came first.With Australia already 2-0 up in the three-match series, this weeks third test against West Indies might be a dead rubber but victory would send them above India into second place in the test rankings behind South Africa.""Its a huge motivation, thats what we want to be, number one in all formats and were working extremely hard to get there,"" Smith told reporters on the eve of the match at the Sydney Cricket Ground (SCG) on Saturday.""It would be nice to win this week and wrap this series up 3-0. Its been a good summer for us so far, so wed like to finish on a high.""Defeat for South Africa in their ongoing series against England would then send Australia back to the summit but even if the English fail to build on their winning start, Februarys two-test tour of New Zealand offers Smiths side another chance.Australia beat the Black Caps 2-0 on home soil in November but the series was closer than the scoreline would suggest and Smiths side, like many of the top test teams, have struggled to win series overseas in recent years.""Playing away from home is a challenge for all teams around the world at the moment, I think thats one of the big things were going to be judged on,"" Smith added.""Its going to be a big challenge in New Zealand, but Im confident if we can continue playing the way we are, hopefully we can have a lot of success over there.""Smiths own form hit a minor blip when he was dismissed for 10 in Australias only innings in the first test against West Indies but the runs were flowing again in Melbourne last week after knocks of 134 and 70 without being dismissed.""I felt pretty good last week, I guess it was good just to spend a little bit of time in the middle again,"" Smith said.""All of my movement and my swing and everything was back in synch.I went back and looked at some footage before the Melbourne test and felt my bat face was a little bit closed.""Last week I got my bat face back where I wanted it to be and everything felt really good, so hopefully I can score a few more this week.",01-02-2016,Australia skipper Smith plots return to test summi,cricket,SYDNEY,Steve;Smith;Steve Smith,Smith;Steve Smith,Smiths;SCG
"WELLINGTON: New Zealand captain Brendon McCullum on Sunday said tainted bowler Mohammad Amir should be given the benefit of the doubt and allowed to play for Pakistan in limited-overs matches in New Zealand this month.Amir has been named in the Pakistan squad which will play three Twenty20 and as many one-day games against New Zealand over the next three weeks but his participation depends on New Zealand immigration officials allowing him a visa.The fast bowler was only 18 when he handed a five-year ban from cricket in 2011 for his involvement in spot fixing.He also served three months of a six month prison term.His ban, imposed by the International Cricket Council (ICC), has now ended and McCullum said today he should be allowed to resume his career.He was a very young man at the time and he's gone through a sound rehabilitation program, McCullum said.If he gets out on the field against us, then you play against the man you're playing against, not a man who may have made some mistakes as a youngster, added the explosive batsman.New Zealand Cricket chief executive David White also supported Amir's inclusion in the Pakistan squad but stressed that was a personal view and not that of his organisation.He was a very, very young man, a boy really (when he was suspended), White said.He showed remorse at the time, admitted to it. He's gone through all the rehabilitation and education as prescribed by the ICC.I'm personally comfortable with him coming to New Zealand and playing, added White.New Zealand's immigration department issued a statement before Christmas saying it had not yet received a visa application for Amir and would consider one when it is received.A decision is likely next week.",01-03-2016,McCullum says Amir should get benefit of doub,cricket,WELLINGTON,David White;Mohammad Amir;Amir;Brendon;Mohammad;Brendon McCullum;White;David;McCullum,Amir;McCullum;Mohammad Amir;Brendon McCullum,New Zealand;International Cricket Council;ICC
"CAPE TOWN: Ben Stokes and Jonny Bairstow tore apart the South African bowling attack as they enjoyed a run feast at Newlands on a record-breaking second day of the second Test which led to England declaring their first innings on 629 for six.South Africa were 24 for one wicket in reply at tea with a 605-run deficit.Stokes amassed 258 runs and Bairstow an unbeaten 150 as they bludgeoned a limp-looking home attack from the opening ball on Sunday, setting a new sixth-wicket Test record of 399 runs.Stokes notched up the quickest 250 (off 196 balls) in Test history after scoring the second fastest double century (163 balls) in a knock that lasted 198 deliveries, which included 30 fours and a England record 11 sixes.Bairstow notched an emotional first test century, with England declaring once he got to 150 off 191 balls with 18 fours and two sixes.The pair took the overnight score from 317 for five in a remarkable one and half sessions of devastating batting before putting the dispirited-looking home side into bat.Stokes double century took 10 balls more than New Zealands Nathan Astle, who holds the record for the fastest double century in 153 balls. Englands previous fastest was by Ian Botham who took 220 balls.In reaching 250 off 196 balls, Stokes beat Virender Sehwags record and also set the highest score by a batsman at number six, beating a 39-year-old mark held by Australian Doug Walters.England, already 1-0 up in the four-Test series after winning the first test in Durban by 241 runs, went from 300 to 400 in 15 overs and 400 to 500 runs in just 11 overs playing as if it was a Twenty20 match.They set the tone from the start of the second day with 45 runs in the first four overs as Stokes advanced from 74 not out overnight to his century.Bairstow started the day on 39.Stokes eventually went out in something of an anti-climax as he skied a shot to AB de Villiers, who dropped a simple-looking catch only to sweep up the ball and hit the stumps to run out the batsman as he ambled back to the crease.South Africas horror day did not end after the declaration with Stiaan van Zyl run out for four in the third over of their first innings, setting off for a quick run but being sent back by opening partner Dean Elgar.Elgar (8) and captain Hashim Amla (10) were not out at tea with Elgar surviving a leg before wicket decision after a review showed he got the slightest of edges to the ball. (Reuters)",01-03-2016,England declare on 629 6 on record breaking day,cricket,CAPE TOWN,Jonny Bairstow;Sehwags;Elgar.Elgar;Walters.England;Doug Walters.England;Elgar;Ben Stokes;Astle;Virender Sehwags;Nathan;Doug;Amla;Hashim Amla;Bairstow;van;Stiaan van Zyl;Ben;Zyl;Ian Botham;Nathan Astle;Dean;Stiaan;Jonny;Stokes;Ian;Virender;Dean Elgar.Elgar;Hashim;Botham,,AB de Villiers;Reuters
"CAPE TOWN: Ben Stokes scored the second fastest double century in Tests and led a run feast on the second day of the second Test against South Africa by battering the home attack to take England to 513 for five wickets at lunch.Stokes (204 not out) and Jonny Bairstow, who was unbeaten on 95, bludgeoned a limp-looking home attack from the opening ball on Sunday, setting a new sixth-wicket record stand for England.The pair took the overnight score from 317 for five in a remarkable session that produced 196 runs in two hours of devastating batting.Stokes double century came off 163 balls with 26 fours and seven sixes.New Zealands Nathan Astle holds the record for the fastest double century in 153 balls while Englands previous fastest was by Ian Botham who took 220 balls.Stokes now holds the record score for an England number six, beating Graham Hicks 187 against India in 1993, and became the first English centurion at Newlands for 50 years.He produced an array of astonishing boundaries, bringing up his 200 by pulling Morne Morkel for a four and leaving the home side looking dispirited in the field on another hot day in Cape Town.England, already 1-0 up in the four-Test series after winning the first Test in Durban by 241 runs, went from 300 to 400 in 15 overs and 400 to 500 runs in just 11 overs.The tourists began Sundays play like they were playing a Twenty20 match with 45 runs in the first four overs as Stokes advanced from 74 not out overnight to his century and did not let up after that.Bairstow brought up his 50 soon after -- his fourth in five innings against South Africa -- as the pair picked up the pace with 102 runs in the first hours play.The South African bowling attack, without injured Dale Steyn and Vernon Philander, had their figures hammered with debutant Chris Morris going to lunch having conceded 141 runs for his single wicket.Kagiso Rabada was 3-123 and spinner Dane Piedt 0-112. Lead bowler Morne Morkels figures were 1-102. (Reuters)",01-03-2016,Stokes batters South Africa in blistering double ,cricket,CAPE TOWN,Jonny Bairstow;Graham;Morne Morkels;Philander;Dane Piedt;Vernon Philander;Ben Stokes;Graham Hicks;Astle;Nathan;Morkel;Morne;Chris;Morris;Steyn;Bairstow;Piedt;Chris Morris;Dale Steyn;Ben;Ian Botham;Hicks;Nathan Astle;Vernon;Jonny;Morne Morkel;Stokes;Morkels;Dane;Dale;Ian;Botham,Stokes;Ben Stokes,Reuters
"SYDNEY: Australias spinners Nathan Lyon and Stephen OKeefe took key wickets between rain showers to peg West Indies back to 207 for six at the end of a weather-disrupted opening day of the dead rubber third Test on Sunday.More than two hours and 45 minutes of play were lost to rain in a stop-start day at the Sydney Cricket Ground, where the tourists fell away in the early evening gloom after winning the toss and making a solid start.Denesh Ramdin, unbeaten on 23, and Carlos Brathwaite (35 not out) will resume on day two if the forecast heavy rain stays away.The hosts had rolled the dice on the twin spin attack at the SCG for the first time in a decade and got their reward when Lyon and OKeefe got plenty of turn off a straw-coloured wicket.Off-spinner Lyon (2-68) produced a stunning delivery that pitched wide and turned in to take the bail off Jermaine Blackwoods off stump for 10 and returned after the second rain break to remove dangerman Kraigg Brathwaite for 85.Left-arm orthodox spinner OKeefe (1-42) then pitched in to have West Indies captain Jason Holder caught superbly at short leg by Joe Burns and claim his first test wicket on Australian soil.Trailing 2-0 in the three-match series after thumping defeats in Hobart and Melbourne, West Indies had started the day by building on their improved batting performance in the second Test.After the early loss of opener Shai Hope (nine), Kraigg Brathwaite and Darren Bravo (33) looked in fine nick as they ushered the tourists to lunch at 92 for one.Australias bowlers emerged from the break re-energised, however, and James Pattinson got the breakthrough when Bravos miscued pull sent the ball flying to Usman Khawaja running in from the deep.That broke a 91-run partnership and brought Marlon Samuels to the crease looking to break his run of eight test innings without getting to the 20-run mark.He failed in farcical fashion looking for a quick single that always looked like a gamble, left stranded when Kraigg Brathwaite scuttled back to his crease as Peter Nevill broke the stumps.After a long glare at his partner, Samuels headed back to the pavilion with four runs to his name and the rest of the players and umpires followed in his wake as heavy rain came down on the ground.Kraigg Brathwaite had brought up his eighth test half-century just before lunch by clipping all-rounder Mitchell Marsh past long leg for two runs off the 78th ball he faced. He fell 15 runs shy off his fifth test century when Lyon got a little bit of extra bounce to a delivery which caught the openers glove and was snaffled up by Steve Smith at slip. (Reuters)",01-03-2016,Australias spinners peg West Indies back in Sydney rai,cricket,SYDNEY,Mitchell Marsh;Peter Nevill;Jermaine Blackwoods;Darren;James Pattinson;Jermaine;Jason;Joe;OKeefe;Smith;Nevill;Nathan Lyon;Samuels;Marlon Samuels;Ramdin;Burns;Marlon;Bravo;Usman;Shai Hope;Usman Khawaja;Brathwaite;Nathan;Mitchell;Joe Burns;Steve Smith;Kraigg;James;Blackwoods;Kraigg Brathwaite;Holder;Lyon;Pattinson;Darren Bravo;Jason Holder;Steve;Marsh;Shai;Carlos Brathwaite;Peter;Khawaja;Carlos;Stephen;Hope;Stephen OKeefe,,SCG;Reuters;Bravos
"CAPE TOWN: Captain Hashim Amla scored an unbeaten century on the third day of the second Test against England and AB de Villiers made 88 as South Africa reached tea on 290 for three on Monday.Amla scored his first hundred for more than a year and De Villiers reached 8,000 Test runs before he pulled a short ball from Steven Finn to James Anderson at mid-wicket just before the interval.South Africa trailed the touring side by 339 runs, 140 short of avoiding the follow-on, with Amla on 132 not out and Faf du Plessis on 15.Amla and De Villiers resumed on 141 for two and extended their partnership to 183, giving South Africa a foothold in the game after England declared on a massive total of 629 for six on a second day of record-breaking batting.The experienced pair played with much circumspection but did offer chances.<br/> Amla was twice dropped -- by Joe Root on 76 and Nick Compton on 120 -- and De Villiers survived an lbw appeal after asking for a review, which showed he got a slight nick to a Ben Stokes delivery.De Villiers became the third South African batsman to pass 8,000 runs while Amla, who last made a significant contribution with 208 runs against the West Indies in December 2014, moved past 7,000 runs.The 31-year-old De Villiers joined Jacques Kallis (13,206) and Graeme Smith (9,253) on the list of South Africans with more than 8,000 Test runs.England, 1-0 up in the series, bowled good lines and with spells of aggression on a pitch that offered little assistance and in hot temperatures of over 30 degrees celsius.The third day, however, provided none of the fireworks of Sunday when Stokes and Jonny Bairstow smashed the ball to all corners of the picturesque ground.<br/> (Reuters)",01-04-2016,Amla makes century De Villiers falls for 88,cricket,CAPE TOWN,Jonny Bairstow;de;Jacques;du;AB de Villiers;AB;De;Joe;Bairstow;Root;Compton;Kallis;Nick;Smith;Jacques Kallis;Joe Root;Steven;Stokes;Hashim;Finn;James Anderson;Ben Stokes delivery.De Villiers;De Villiers;Graeme Smith;Plessis;Faf du Plessis;Nick Compton;delivery.De;Graeme;Amla;Hashim Amla;James;Faf;Ben;Anderson;Steven Finn;Villiers;Jonny,De Villiers;Amla;Hashim Amla,De Villiers;Reuters
"SYDNEY: Carlos Brathwaite shone briefly for West Indies but the rain was the only real winner on Monday as wet weather washed away all but 11.2 overs of play on the second day of the third Test against Australia.West Indies were 248 for seven in their first innings when the rain interrupted play for the third and final time half an hour after lunch in the wake of Brathwaites dismissal for 69.Play was officially abandoned at 4:35 p.m.(0535 GMT) as the rain continued to cascade down on Sydney Cricket Ground with the 14,266 optimistic souls who came through the gates despite the gloomy forecast offered a full refund.That meant that the flurry of boundaries with which Brathwaite lit up the few overs of action was ultimately a free show and the 27-year-old was warmly applauded for it by an appreciative crowd.Resuming on 35 with his team on 207 for six, the tall, muscular Bajan showed why he has been one of the few bright spots for West Indies on what has otherwise been a miserable tour.Playing his second Test after scoring 59 on debut in Melbourne last week, Brathwaite smashed four sixes and seven fours in his 71-ball innings.One of the two sixes he hit in one over off Australia paceman James Pattinson was a spectacular heave over the covers and deep into the crowd.A fuming Pattinson had his revenge, however, when he found his range and took out Brathwaites off stump with what the batsman described as a ""good nut"".""I was upset that once again I got a start and couldnt carry on. One of the main mantras in cricket is that when things are going good you maximize,"" Brathwaite said.""Then reaching halfway off and hearing the applause -- I even saw some people standing -- I just took a step back and said you know what, just enjoy the feeling. I raised my bat and looked around and it was a very, very good feeling.""Denesh Ramdin will resume on 30 not out for West Indies alongside Kemar Roach, who has yet to score, on day three.Only three balls were bowled in the first two hours of scheduled play and another 21 before lunch after the action resumed briefly at noon.Nearly three hours of play were lost to rain on day one of the match, a dead rubber after Australia racked up convincing victories in the first two Tests. (Reuters)",01-04-2016,Brathwaite cameo a bright spot in Sydney washou,cricket,SYDNEY,Denesh;James;Kemar Roach;Denesh Ramdin;Pattinson;Brathwaite;Kemar;James Pattinson;Bajan;Carlos Brathwaite;Ramdin;Carlos;Roach,Brathwaite;Carlos Brathwaite,Reuters;Australia.West Indies
"LAHORE: Pakistans fast bowler Mohamamd Amir, who has been selected for One-day International and Twenty20 for New Zealand series after five-year ban for spot-fixing, has said that he understood that it would be hard to win cricket communitys trust but hoped they would accept him again through his performance.In an interview, Mohamamd Amir said, he knows when people see him playing they would see good things and hoped they would accept him.Amir said he would love to bowl at Lord's again. Fans - no matter where they are in Pakistan or England or wherever - were hurt, I know that and the most important goal is to win them all, he said.The fast bowler went on to say that he was aware the process of regaining the trust of cricket community would be slow, and that he hoped to win it with his performance.",01-04-2016,Amir hopes to win trust with his perfor,cricket,LAHORE,Mohamamd Amir;Mohamamd;Amir,Amir;Mohamamd Amir,
